Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	20.97872340425532	8.947814095839696	-inf	47	0.982	0.0005	2.1456943617926702e-05
2000	20.914893617021278	8.577133844629142	-inf	94	0.964	0.0005	0.00021217445532480876
3000	22.12	10.301728010387384	22.26	137	0.946	0.0005	0.0003538605901930067
4000	23.51	11.641730970951011	23.68	179	0.9279999999999999	0.0005	0.0004875575833850437
5000	23.51	11.407449320509823	24.18	223	0.91	0.0005	0.0006149336364534166
6000	25.6	12.76636205032585	25.6	259	0.892	0.0005	0.0007622834046681722
7000	24.59	12.298857670531845	25.79	301	0.874	0.0005	0.0009117353624767728
8000	26.85	14.858919879991277	27.18	335	0.856	0.0005	0.001056784987449646
9000	29.36	18.972358841219506	29.36	362	0.838	0.0005	0.0012141611178716023
10000	31.63	20.337480178232504	31.63	393	0.82	0.0005	0.001373212801085578
11000	33.81	25.977565320868695	34.29	419	0.802	0.0005	0.0015213406085968018
12000	35.0	25.671774383552066	35.61	447	0.784	0.0005	0.001657706101735433
13000	36.81	28.910792102604177	37.93	470	0.766	0.0005	0.001802135838402642
14000	42.29	33.84236841593685	42.29	486	0.748	0.0005	0.0019475809070799086
15000	44.99	32.40323903562729	46.48	504	0.73	0.0005	0.0020950580967797174
16000	47.51	34.64924097292753	47.83	527	0.712	0.0005	0.0022503736284044053
17000	50.77	36.92068661333372	50.77	542	0.694	0.0005	0.002420509457588196
18000	54.28	39.460380129948064	55.3	559	0.6759999999999999	0.0005	0.0025857097572750515
19000	56.85	38.5316428406576	57.74	574	0.6579999999999999	0.0005	0.0027455745140711465
20000	60.28	41.16918264916125	60.94	584	0.6399999999999999	0.0005	0.00291462951236301
21000	62.6	43.744713966375414	63.62	598	0.622	0.0005	0.0030724902947743735
22000	67.73	47.7141184556521	67.73	611	0.604	0.0005	0.0032524619499842327
23000	72.34	49.76207793089031	72.34	619	0.586	0.0005	0.003424771693017748
24000	78.3	50.23116562454031	78.57	629	0.5680000000000001	0.0005	0.0036067055993609957
25000	81.58	54.00484793053305	81.58	641	0.55	0.0005	0.0037802783648173016
26000	85.38	53.896712330159815	86.2	651	0.532	0.0005	0.003949490851826138
27000	88.04	57.45623029750559	88.35	661	0.514	0.0005	0.004129557013511658
28000	92.46	59.84236292126172	92.46	667	0.4959999999999999	0.0005	0.004311722252104018
29000	99.73	61.53971969386926	99.73	674	0.478	0.0005	0.004487490587764316
30000	102.91	64.23723141605653	103.81	680	0.45999999999999996	0.0005	0.004672293066978455
31000	107.72	66.11929824189002	107.72	687	0.44199999999999995	0.0005	0.004846332271893819
32000	110.04	68.63598473104324	110.21	694	0.42399999999999993	0.0005	0.005044300291273329
33000	118.13	67.80909304805661	118.13	701	0.4059999999999999	0.0005	0.005235383643044366
34000	122.52	68.32751715085217	122.52	706	0.3879999999999999	0.0005	0.0054432508680555556
35000	128.04	68.34514174394549	128.04	711	0.37	0.0005	0.005643391476737128
36000	131.4	68.97390811024123	131.4	716	0.352	0.0005	0.005831923948393928
37000	136.17	69.52237841155898	136.17	721	0.33399999999999996	0.0005	0.006038230061531067
38000	140.6	69.15432018319606	140.6	727	0.31599999999999995	0.0005	0.006233375006251865
39000	146.28	67.74910774320205	146.28	733	0.29799999999999993	0.0005	0.006427740322219001
40000	153.39	63.99357702144801	153.39	738	0.2799999999999999	0.0005	0.006621100306510926
41000	158.83	61.81230540919825	158.83	743	0.262	0.0005	0.006836045583089193
42000	162.77	59.579502347703446	162.77	748	0.244	0.0005	0.007041550013754103
43000	169.12	55.48157892490082	169.12	753	0.22599999999999998	0.0005	0.00726008587413364
