Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	19.84	8.391328857815072	-inf	50	0.982	0.0005	2.2076964378356933e-05
2000	22.213483146067414	11.453346412619709	-inf	89	0.964	0.0005	0.0001944100194507175
3000	23.6	12.29146045024756	23.77	132	0.946	0.0005	0.0003209120035171509
4000	21.96	11.487314742793462	24.67	181	0.9279999999999999	0.0005	0.0004502136177486843
5000	21.53	11.322945729800175	24.67	225	0.91	0.0005	0.0005768367316987779
6000	22.81	12.921064197658026	24.67	268	0.892	0.0005	0.000737779802746243
7000	22.58	13.490129725099013	24.67	315	0.874	0.0005	0.0009053922361797757
8000	23.27	13.11247878930601	24.67	350	0.856	0.0005	0.0010787700282202826
9000	27.39	16.47658641830886	27.42	381	0.838	0.0005	0.0012279597918192545
10000	30.81	17.742995801160525	31.01	412	0.82	0.0005	0.0013672453165054321
11000	32.54	21.490193112208182	32.54	441	0.802	0.0005	0.001512199772728814
12000	36.53	25.44226994589909	36.56	461	0.784	0.0005	0.0016676872968673707
13000	39.9	27.020547736861296	39.9	480	0.766	0.0005	0.0018080525928073458
14000	43.99	30.82060836518319	44.76	497	0.748	0.0005	0.001951217320230272
15000	48.1	30.176977979910447	48.1	519	0.73	0.0005	0.0020934508906470407
16000	50.76	28.963466643342258	50.76	539	0.712	0.0005	0.002237512270609538
17000	52.14	29.927251794977767	53.59	554	0.694	0.0005	0.0023916998174455433
18000	55.8	34.350836962146936	55.97	569	0.6759999999999999	0.0005	0.002543040050400628
19000	58.68	37.60209568627791	59.5	582	0.6579999999999999	0.0005	0.0026922447813881767
20000	56.85	37.20332646417521	59.5	603	0.6399999999999999	0.0005	0.0028448664479785494
21000	61.27	40.750179140710536	61.34	616	0.622	0.0005	0.002996446755197313
22000	64.55	43.569111765102576	64.55	629	0.604	0.0005	0.0031608786847856308
23000	67.84	44.32780617174732	68.6	641	0.586	0.0005	0.003324438664648268
24000	72.7	48.58343339040583	72.79	649	0.5680000000000001	0.0005	0.003486442830827501
25000	76.8	49.79156555080388	76.8	657	0.55	0.0005	0.0036479539341396756
26000	83.85	54.69540657130176	83.85	664	0.532	0.0005	0.003819530871179369
27000	83.88	54.535177637924676	83.88	674	0.514	0.0005	0.003996809787220425
28000	89.85	57.33644129173	90.7	682	0.4959999999999999	0.0005	0.004161322514216105
29000	96.19	58.63099777421497	96.19	691	0.478	0.0005	0.0043255386749903365
30000	102.13	59.57191536286205	102.13	698	0.45999999999999996	0.0005	0.004501070578893026
31000	109.4	60.29577099598279	109.4	703	0.44199999999999995	0.0005	0.004679552515347798
32000	115.11	62.793135771356404	115.11	709	0.42399999999999993	0.0005	0.0048482958475748695
33000	120.4	62.23552040434787	120.4	715	0.4059999999999999	0.0005	0.005018237829208374
34000	126.47	62.06536151509955	126.47	720	0.3879999999999999	0.0005	0.005190886722670661
35000	133.15	61.8610337773303	133.15	726	0.37	0.0005	0.005365101959970263
36000	137.6	62.44485567282545	137.6	731	0.352	0.0005	0.005556192530526055
37000	141.9	62.672721338713224	141.9	736	0.33399999999999996	0.0005	0.005737738145722283
38000	148.77	60.96586831990503	148.77	741	0.31599999999999995	0.0005	0.005918460620774163
39000	151.99	61.092470076106764	151.99	747	0.29799999999999993	0.0005	0.0061008283827039935
40000	156.13	59.02942571294421	156.13	752	0.2799999999999999	0.0005	0.006286934481726752
41000	160.77	58.5726651263198	160.77	757	0.262	0.0005	0.006477230853504605
42000	162.12	57.794857902758096	162.12	763	0.244	0.0005	0.006663769483566284
43000	167.47	54.28562516909979	167.47	768	0.22599999999999998	0.0005	0.0068578191598256425
44000	171.84	51.90543709477843	171.84	773	0.20799999999999996	0.0005	0.007080744769838121
45000	175.47	49.60230942204203	175.47	778	0.18999999999999995	0.0005	0.007287448644638062
46000	178.97	45.59198504123285	178.97	783	0.17199999999999993	0.0005	0.007482931746376886
47000	184.24	38.60650722352386	184.24	788	0.15400000000000003	0.0005	0.007674009733729893
48000	187.55	36.38086722440795	187.55	793	0.136	0.0005	0.00792688508828481
49000	189.96	34.01115111253955	189.96	798	0.118	0.0005	0.008153180612458124
50000	190.73	33.396663006953254	190.73	803	0.1	0.0005	0.008345134721861946
51000	192.68	29.196534040875463	192.68	808	0.0984	0.0005	0.008772574464480083
52000	193.94	27.237775239545538	193.94	813	0.09680000000000001	0.0005	0.009273768928315905
53000	195.4	23.42776131003558	195.58	818	0.0952	0.0005	0.00947781589296129
54000	196.97	17.729892836675575	196.97	823	0.0936	0.0005	0.009930562575658162
55000	196.97	17.729892836675575	196.97	828	0.092	0.0005	0.010165986153814527
56000	196.98	17.73131692796674	196.98	833	0.09040000000000001	0.0005	0.010365381704436408
57000	196.98	17.73131692796674	196.98	838	0.0888	0.0005	0.010564631422360738
58000	198.54	8.656119222838832	198.54	843	0.0872	0.0005	0.010763990614149305
59000	198.56	8.65715888730246	198.56	848	0.08560000000000001	0.0005	0.010965409543779161
60000	198.24	9.11714867708101	198.56	853	0.084	0.0005	0.011166843705707126
61000	198.24	9.117148677081008	198.56	858	0.0824	0.0005	0.011368129783206516
62000	199.08	4.549021872886522	199.37	863	0.08080000000000001	0.0005	0.011571310626135933
63000	198.96	4.679572630059288	199.37	868	0.0792	0.0005	0.011772509482171801
64000	198.53	6.269696962373859	199.37	873	0.0776	0.0005	0.011973995632595486
65000	198.3	6.507687761409579	199.37	878	0.07600000000000001	0.0005	0.01217714422278934
66000	196.8	9.831581764904362	199.37	884	0.07440000000000001	0.0005	0.012379148933622573
67000	194.72	12.85774474781639	199.37	890	0.0728	0.0005	0.012582002017233107
68000	194.44	13.043251128457198	199.37	895	0.07120000000000001	0.0005	0.012792760332425435
69000	192.78	14.753697841558232	199.37	901	0.06960000000000001	0.0005	0.012997650570339627
70000	191.23	16.540166262767734	199.37	907	0.068	0.0005	0.013200651208559672
71000	189.13	17.699522592431695	199.37	913	0.06640000000000001	0.0005	0.013405428926150004
72000	188.11	18.613916836603735	199.37	919	0.0648	0.0005	0.013606784211264716
73000	179.5	37.23855528884009	199.37	928	0.0632	0.0005	0.013813887238502503
74000	153.38	63.29656862737505	199.37	946	0.06160000000000001	0.0005	0.014018789529800416
75000	131.06	72.14233431210832	199.37	963	0.060000000000000005	0.0005	0.01422328147623274
76000	123.33	73.90048105391467	199.37	972	0.0584	0.0005	0.014432304236623976
77000	115.62	73.59100216738454	199.37	981	0.0568	0.0005	0.01463775806956821
78000	106.47	74.19750063175982	199.37	992	0.0552	0.0005	0.014839558667606778
79000	104.92	74.35841310840355	199.37	998	0.05360000000000001	0.0005	0.015042528642548455
80000	106.08	75.37820374617586	199.37	1004	0.052000000000000005	0.0005	0.01524640334977044
81000	106.51	75.66300218733063	199.37	1009	0.05040000000000001	0.0005	0.015451413922839694
82000	105.85	75.0945237683814	199.37	1015	0.0488	0.0005	0.01565495895014869
83000	106.45	75.49667211208717	199.37	1021	0.0472	0.0005	0.015859863890541923
84000	111.53	73.84083626287016	199.37	1027	0.0456	0.0005	0.01606468697388967
